	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
augustus_masked-NW_019168381.1-processed-gene-0.0	1492.22116441357	-0.0349746646461482	0.363635588150494	-0.0961805328901789	0.923377191630827	0.956067302571067
augustus_masked-NW_019168381.1-processed-gene-0.1	218.144177039134	-1.59738630864134	0.343235486542553	-4.65390780170193	3.25702484294445e-06	2.65027263429915e-05
augustus_masked-NW_019168381.1-processed-gene-0.10	3.70381128462228	1.80106054362244	1.49538050810531	1.2044162230685	0.228428744766551	NA
augustus_masked-NW_019168381.1-processed-gene-0.11	239.604011807398	-0.0680748405260096	0.659768227425856	-0.103179931521725	0.917820167217398	0.952267916424015
augustus_masked-NW_019168381.1-processed-gene-0.12	144.924171807574	0.551724318525604	0.521442843722371	1.05807247173451	0.290022403527342	0.457595942391068
augustus_masked-NW_019168381.1-processed-gene-0.13	97.2133455536723	-1.54398441180496	1.06089690953545	-1.45535762987664	0.145570279841481	0.286718260786389
augustus_masked-NW_019168381.1-processed-gene-0.2	183.170487981753	-0.52845982728176	0.464849212520757	-1.13684139511834	0.255604594978736	0.421069447075174
augustus_masked-NW_019168381.1-processed-gene-0.3	1183.51760311941	-4.21710797618554	0.874807824887486	-4.82061071724858	NA	NA
augustus_masked-NW_019168381.1-processed-gene-0.4	265.002434626691	-0.213807497757973	0.465346707269047	-0.459458494963319	0.645904950694963	0.764478704107
augustus_masked-NW_019168381.1-processed-gene-0.5	112.521621812541	-0.965765432232455	0.471260534612936	-2.04932380562203	0.0404304623395127	0.10460086282197
augustus_masked-NW_019168381.1-processed-gene-0.6	44.773862268031	-0.430888492699313	0.587119415246748	-0.73390264656505	0.46300807397584	0.614704140317924
augustus_masked-NW_019168381.1-processed-gene-0.7	383.12789735802	-0.195479663096014	0.409163103970724	-0.477754864011395	0.632824689961775	0.754306098253315
augustus_masked-NW_019168381.1-processed-gene-0.8	805.763555131018	0.872485108679009	0.56488901789604	1.54452481998788	0.122461243219165	0.25063568845464
augustus_masked-NW_019168381.1-processed-gene-0.9	299.328780153366	-0.752493866826067	0.478832331452482	-1.57151849906096	0.116062260886509	0.239727372025563
augustus_masked-NW_019168381.1-processed-gene-1.0	953.910314867274	3.14679790488409	0.330727229798568	9.51478324539733	1.82092106382339e-21	1.2248729022652e-19
augustus_masked-NW_019168381.1-processed-gene-1.1	643.188404577752	-1.04422856145948	0.390422560625076	-2.6746112206929	0.00748159553206606	0.026205582928165
augustus_masked-NW_019168381.1-processed-gene-1.10	1999.88366363744	0.4863525957476	0.399557686364852	1.21722748014786	0.223517677420237	0.384636250127305
augustus_masked-NW_019168381.1-processed-gene-1.11	31.3641864371941	1.18184370515093	1.36508298328869	0.865766931108971	0.386617987235439	0.544923254651103
augustus_masked-NW_019168381.1-processed-gene-1.12	5.00355479777333	0.640189552989824	1.77194393175254	0.361292217839333	0.717881010660615	NA
augustus_masked-NW_019168381.1-processed-gene-1.13	37.3173193075464	0.633009534672426	0.648241505340225	0.976502629741666	0.328815445350587	0.490481920701887
augustus_masked-NW_019168381.1-processed-gene-1.2	15.2234206830623	1.39015953452617	1.41869243783629	0.979887886514964	0.327141463039846	0.490481920701887
augustus_masked-NW_019168381.1-processed-gene-1.3	134.927439673586	-2.76550212338678	0.866855798314754	-3.19026778013502	0.00142141022409256	0.00624925017912589
augustus_masked-NW_019168381.1-processed-gene-1.4	115.995262860408	1.10074021033642	0.520649713124405	2.11416655495862	0.0345010443255631	0.092094057472204
augustus_masked-NW_019168381.1-processed-gene-1.5	366.223847583356	1.60491031633125	0.48265156274099	3.32519448858081	0.000883568762003393	0.0040895453250524
augustus_masked-NW_019168381.1-processed-gene-1.6	403.544951628268	-0.692984807504936	0.347860044887447	-1.99213683114759	0.0463560468128526	0.116933128085421
augustus_masked-NW_019168381.1-processed-gene-1.7	13.4693605027219	2.4068880531658	1.55752589052025	1.54532779699851	0.122266995136362	0.250492178868201
augustus_masked-NW_019168381.1-processed-gene-1.8	2.81832651476042	1.18996674568661	1.52793951596072	0.778804876277049	0.436094664833899	NA
augustus_masked-NW_019168381.1-processed-gene-1.9	5.80563070658186	1.5557728287992	1.6562838692253	0.939315329761006	0.347568870212235	NA
augustus_masked-NW_019168381.1-processed-gene-10.0	990.818208899599	-0.122704020106871	0.463429085950628	-0.26477410207253	0.791183488616461	0.871316164868224
augustus_masked-NW_019168381.1-processed-gene-10.1	15.5077645847528	2.29263043190793	1.19818243982283	1.9134234952124	0.0556938589352761	0.134760440445308
augustus_masked-NW_019168381.1-processed-gene-10.10	684.487683475589	-4.18162869418196	0.677413288830769	-6.1729357293825	6.70334667016538e-10	1.13675240171376e-08
augustus_masked-NW_019168381.1-processed-gene-10.11	65.8805125811479	2.50338924361718	0.871254098836075	2.87331703456145	0.00406186278488021	0.0154366084743659
augustus_masked-NW_019168381.1-processed-gene-10.12	668.138790318655	2.53687585034196	0.490314661958959	5.17397509633171	2.29165382081638e-07	2.48632118839111e-06
augustus_masked-NW_019168381.1-processed-gene-10.13	9.86175819787322	1.98201514730544	1.11274821405673	1.78118924143642	0.0748815406308018	NA
augustus_masked-NW_019168381.1-processed-gene-10.14	19323.0704971894	3.91594427469731	0.466482927231765	8.3946143494159	4.67425910348271e-17	1.84954017075061e-15
augustus_masked-NW_019168381.1-processed-gene-10.15	699.225127591523	0.784286938583211	0.551310493579067	1.42258663261002	0.154856021315885	0.300191595596019
augustus_masked-NW_019168381.1-processed-gene-10.16	12.0171958003386	2.19360432560872	1.5363993861338	1.42775657514985	0.153361935807298	0.29844203130099
augustus_masked-NW_019168381.1-processed-gene-10.2	298.580866999948	2.25087053566837	0.4355315159792	5.16810024782654	2.36485461598411e-07	2.55201958024381e-06
augustus_masked-NW_019168381.1-processed-gene-10.3	2079.75116871717	-0.350585356237091	0.40213652066739	-0.871806807437574	0.383313780255804	0.542826111267517
augustus_masked-NW_019168381.1-processed-gene-10.4	98.4881812988997	0.100675376228103	0.528815425359277	0.190379046072085	0.849012116204159	0.910364745217849
augustus_masked-NW_019168381.1-processed-gene-10.5	3686.86166013605	-4.24621128302782	0.661997956107024	-6.41423624326318	1.41530591145563e-10	2.72008317077852e-09
augustus_masked-NW_019168381.1-processed-gene-10.6	238.093794743029	-1.567694109595	0.478499976008681	-3.27626789591848	0.00105188732681086	0.00478087528266736
augustus_masked-NW_019168381.1-processed-gene-10.7	690.855221595352	-0.588485245347719	0.558493229112304	-1.0537016648941	0.292019526461655	0.458404111360691
augustus_masked-NW_019168381.1-processed-gene-10.8	5.61775391332492	1.0047447282773	1.51987425735917	0.661070955977023	0.508566810288873	NA
augustus_masked-NW_019168381.1-processed-gene-10.9	204.08586866102	0.719027296196201	0.390118658320436	1.84309896709838	0.0653145621312895	0.151674092498207
augustus_masked-NW_019168381.1-processed-gene-100.0	6.61593142119187	-1.01736608802507	1.73281152979348	-0.587118720375964	0.557123975573892	NA
